ase_id,chr,strand,out_donor,out_acceptor,in_junction
6@-@145686240^145686146-@145686242^145686240-145686147^145686145-,6,-,145686240^,145686146-,145686242^145686240-145686147^145686145-
6@+@109735298^109738325-@109735297^109735299-109738325^109738327-,6,+,109735298^,109738325-,109735297^109735299-109738325^109738327-
6@+@109743272^109743675-@109743271^109743273-109743675^109743677-,6,+,109743272^,109743675-,109743271^109743273-109743675^109743677-
6@+@109743272^109743647-@109743271^109743273-109743647^109743649-,6,+,109743272^,109743647-,109743271^109743273-109743647^109743649-
6@+@109786449^109788798-@109786448^109786450-109788798^109788800-,6,+,109786449^,109788798-,109786448^109786450-109788798^109788800-
6@+@109788956^109789594-@109788955^109788957-109789594^109789596-,6,+,109788956^,109789594-,109788955^109788957-109789594^109789596-
6@+@109786449^109789594-@109786448^109786450-109789594^109789596-,6,+,109786449^,109789594-,109786448^109786450-109789594^109789596-
6@+@29670721^29671172-@29670720^29670722-29671172^29671174-,6,+,29670721^,29671172-,29670720^29670722-29671172^29671174-
6@+@29726043^29726403-@29726042^29726044-29726403^29726405-,6,+,29726043^,29726403-,29726042^29726044-29726403^29726405-
6@+@43008065^43008201-@43008064^43008066-43008201^43008203-,6,+,43008065^,43008201-,43008064^43008066-43008201^43008203-
6@+@43008475^43009057-@43008474^43008476-43009057^43009059-,6,+,43008475^,43009057-,43008474^43008476-43009057^43009059-
6@-@43056081^43056007-@43056083^43056081-43056008^43056006-,6,-,43056081^,43056007-,43056083^43056081-43056008^43056006-
6@+@43142299^43143417-@43142298^43142300-43143417^43143419-,6,+,43142299^,43143417-,43142298^43142300-43143417^43143419-
6@+@43196265^43196645-@43196264^43196266-43196645^43196647-,6,+,43196265^,43196645-,43196264^43196266-43196645^43196647-
6@+@110892443^110892735-@110892442^110892444-110892735^110892737-,6,+,110892443^,110892735-,110892442^110892444-110892735^110892737-
6@+@30911767^30912014-@30911766^30911768-30912014^30912016-,6,+,30911767^,30912014-,30911766^30911768-30912014^30912016-
6@+@30912146^30912328-@30912145^30912147-30912328^30912330-,6,+,30912146^,30912328-,30912145^30912147-30912328^30912330-
6@+@30913157^30913309-@30913156^30913158-30913309^30913311-,6,+,30913157^,30913309-,30913156^30913158-30913309^30913311-
6@+@30949410^30952039-@30949409^30949411-30952039^30952041-,6,+,30949410^,30952039-,30949409^30949411-30952039^30952041-
6@+@30923505^30924354-@30923504^30923506-30924354^30924356-,6,+,30923505^,30924354-,30923504^30923506-30924354^30924356-
6@-@166324537^166322886-@166324539^166324537-166322887^166322885-,6,-,166324537^,166322886-,166324539^166324537-166322887^166322885-
6@-@138929977^138926481-@138929979^138929977-138926482^138926480-,6,-,138929977^,138926481-,138929979^138929977-138926482^138926480-
6@+@138696755^138696903-@138696754^138696756-138696903^138696905-,6,+,138696755^,138696903-,138696754^138696756-138696903^138696905-
6@-@31535367^31532911-@31535369^31535367-31532912^31532910-,6,-,31535367^,31532911-,31535369^31535367-31532912^31532910-
6@+@31572841^31572928-@31572840^31572842-31572928^31572930-,6,+,31572841^,31572928-,31572840^31572842-31572928^31572930-
6@+@31587318^31588563-@31587317^31587319-31588563^31588565-,6,+,31587318^,31588563-,31587317^31587319-31588563^31588565-
6@+@31587318^31588518-@31587317^31587319-31588518^31588520-,6,+,31587318^,31588518-,31587317^31587319-31588518^31588520-
6@-@31589975^31589899-@31589977^31589975-31589900^31589898-,6,-,31589975^,31589899-,31589977^31589975-31589900^31589898-
6@-@31688249^31688103-@31688251^31688249-31688104^31688102-,6,-,31688249^,31688103-,31688251^31688249-31688104^31688102-
6@+@31744025^31744139-@31744024^31744026-31744139^31744141-,6,+,31744025^,31744139-,31744024^31744026-31744139^31744141-
6@+@31744025^31744190-@31744024^31744026-31744190^31744192-,6,+,31744025^,31744190-,31744024^31744026-31744190^31744192-
6@+@31759177^31759425-@31759176^31759178-31759425^31759427-,6,+,31759177^,31759425-,31759176^31759178-31759425^31759427-
6@+@31762570^31762790-@31762569^31762571-31762790^31762792-,6,+,31762570^,31762790-,31762569^31762571-31762790^31762792-
6@-@31766463^31766384-@31766465^31766463-31766385^31766383-,6,-,31766463^,31766384-,31766465^31766463-31766385^31766383-
6@-@32950519^32949889-@32950521^32950519-32949890^32949888-,6,-,32950519^,32949889-,32950521^32950519-32949890^32949888-
6@-@32950519^32949787-@32950521^32950519-32949788^32949786-,6,-,32950519^,32949787-,32950521^32950519-32949788^32949786-
6@+@44179630^44179952-@44179629^44179631-44179952^44179954-,6,+,44179630^,44179952-,44179629^44179631-44179952^44179954-
6@+@43519905^43520066-@43519904^43519906-43520066^43520068-,6,+,43519905^,43520066-,43519904^43519906-43520066^43520068-
6@+@43519838^43520066-@43519837^43519839-43520066^43520068-,6,+,43519838^,43520066-,43519837^43519839-43520066^43520068-
6@+@43520185^43520275-@43520184^43520186-43520275^43520277-,6,+,43520185^,43520275-,43520184^43520186-43520275^43520277-
6@-@43513359^43513098-@43513361^43513359-43513099^43513097-,6,-,43513359^,43513098-,43513361^43513359-43513099^43513097-
6@-@43513359^43513200-@43513361^43513359-43513201^43513199-,6,-,43513359^,43513200-,43513361^43513359-43513201^43513199-
6@-@43621761^43621516-@43621763^43621761-43621517^43621515-,6,-,43621761^,43621516-,43621763^43621761-43621517^43621515-
6@-@43622003^43621790-@43622005^43622003-43621791^43621789-,6,-,43622003^,43621790-,43622005^43622003-43621791^43621789-
6@-@43625363^43625062-@43625365^43625363-43625063^43625061-,6,-,43625363^,43625062-,43625365^43625363-43625063^43625061-
6@+@41783605^41784131-@41783604^41783606-41784131^41784133-,6,+,41783605^,41784131-,41783604^41783606-41784131^41784133-
6@+@41783605^41783734-@41783604^41783606-41783734^41783736-,6,+,41783605^,41783734-,41783604^41783606-41783734^41783736-
6@-@73519883^73519516-@73519885^73519883-73519517^73519515-,6,-,73519883^,73519516-,73519885^73519883-73519517^73519515-
6@-@73519892^73519516-@73519894^73519892-73519517^73519515-,6,-,73519892^,73519516-,73519894^73519892-73519517^73519515-
6@-@73518932^73518848-@73518934^73518932-73518849^73518847-,6,-,73518932^,73518848-,73518934^73518932-73518849^73518847-
6@-@73518354^73518264-@73518356^73518354-73518265^73518263-,6,-,73518354^,73518264-,73518356^73518354-73518265^73518263-
6@-@73518030^73517934-@73518032^73518030-73517935^73517933-,6,-,73518030^,73517934-,73518032^73518030-73517935^73517933-
6@-@73519337^73519228-@73519339^73519337-73519229^73519227-,6,-,73519337^,73519228-,73519339^73519337-73519229^73519227-
6@-@73518354^73518264-@73518356^73518354-73518265^73518263-,6,-,73518354^,73518264-,73518356^73518354-73518265^73518263-
6@-@31782721^31782633-@31782723^31782721-31782634^31782632-,6,-,31782721^,31782633-,31782723^31782721-31782634^31782632-
6@-@31781847^31781761-@31781849^31781847-31781762^31781760-,6,-,31781847^,31781761-,31781849^31781847-31781762^31781760-
6@+@31665313^31665415-@31665312^31665314-31665415^31665417-,6,+,31665313^,31665415-,31665312^31665314-31665415^31665417-
6@+@160088147^160089107-@160088146^160088148-160089107^160089109-,6,+,160088147^,160089107-,160088146^160088148-160089107^160089109-
6@-@41705917^41705752-@41705919^41705917-41705753^41705751-,6,-,41705917^,41705752-,41705919^41705917-41705753^41705751-
6@-@31861188^31860621-@31861190^31861188-31860622^31860620-,6,-,31861188^,31860621-,31861190^31861188-31860622^31860620-
6@-@31861999^31861450-@31862001^31861999-31861451^31861449-,6,-,31861999^,31861450-,31862001^31861999-31861451^31861449-
6@+@30643011^30643529-@30643010^30643012-30643529^30643531-,6,+,30643011^,30643529-,30643010^30643012-30643529^30643531-
6@+@30645974^30646067-@30645973^30645975-30646067^30646069-,6,+,30645974^,30646067-,30645973^30645975-30646067^30646069-
6@+@30646109^30646469-@30646108^30646110-30646469^30646471-,6,+,30646109^,30646469-,30646108^30646110-30646469^30646471-
6@+@30652717^30652802-@30652716^30652718-30652802^30652804-,6,+,30652717^,30652802-,30652716^30652718-30652802^30652804-
6@+@70525191^70525864-@70525190^70525192-70525864^70525866-,6,+,70525191^,70525864-,70525190^70525192-70525864^70525866-
6@-@28999956^28999613-@28999958^28999956-28999614^28999612-,6,-,28999956^,28999613-,28999958^28999956-28999614^28999612-
6@-@43675494^43675271-@43675496^43675494-43675272^43675270-,6,-,43675494^,43675271-,43675496^43675494-43675272^43675270-
6@+@53092824^53093466-@53092823^53092825-53093466^53093468-,6,+,53092824^,53093466-,53092823^53092825-53093466^53093468-
6@+@31724627^31724765-@31724626^31724628-31724765^31724767-,6,+,31724627^,31724765-,31724626^31724628-31724765^31724767-
6@+@31724627^31724746-@31724626^31724628-31724746^31724748-,6,+,31724627^,31724746-,31724626^31724628-31724746^31724748-
6@+@31724844^31724970-@31724843^31724845-31724970^31724972-,6,+,31724844^,31724970-,31724843^31724845-31724970^31724972-
6@-@10410282^10410138-@10410284^10410282-10410139^10410137-,6,-,10410282^,10410138-,10410284^10410282-10410139^10410137-
6@-@10410282^10410138-@10410284^10410282-10410139^10410137-,6,-,10410282^,10410138-,10410284^10410282-10410139^10410137-
6@+@3082660^3083085-@3082659^3082661-3083085^3083087-,6,+,3082660^,3083085-,3082659^3082661-3083085^3083087-
6@+@3083313^3085259-@3083312^3083314-3085259^3085261-,6,+,3083313^,3085259-,3083312^3083314-3085259^3085261-
6@+@157906212^157909665-@157906211^157906213-157909665^157909667-,6,+,157906212^,157909665-,157906211^157906213-157909665^157909667-
6@+@157937523^157938633-@157937522^157937524-157938633^157938635-,6,+,157937523^,157938633-,157937522^157937524-157938633^157938635-
6@+@157938747^157940905-@157938746^157938748-157940905^157940907-,6,+,157938747^,157940905-,157938746^157938748-157940905^157940907-
6@+@157938747^157940883-@157938746^157938748-157940883^157940885-,6,+,157938747^,157940883-,157938746^157938748-157940883^157940885-
6@+@46793467^46793552-@46793466^46793468-46793552^46793554-,6,+,46793467^,46793552-,46793466^46793468-46793552^46793554-
6@+@46793576^46793666-@46793575^46793577-46793666^46793668-,6,+,46793576^,46793666-,46793575^46793577-46793666^46793668-
6@+@146724327^146726083-@146724326^146724328-146726083^146726085-,6,+,146724327^,146726083-,146724326^146724328-146726083^146726085-
6@-@37655700^37654932-@37655702^37655700-37654933^37654931-,6,-,37655700^,37654932-,37655702^37655700-37654933^37654931-
6@+@13599155^13600648-@13599154^13599156-13600648^13600650-,6,+,13599155^,13600648-,13599154^13599156-13600648^13600650-
6@+@13599155^13600834-@13599154^13599156-13600834^13600836-,6,+,13599155^,13600834-,13599154^13599156-13600834^13600836-
6@-@32757281^32756466-@32757283^32757281-32756467^32756465-,6,-,32757281^,32756466-,32757283^32757281-32756467^32756465-
6@-@32814320^32813833-@32814322^32814320-32813834^32813832-,6,-,32814320^,32813833-,32814322^32814320-32813834^32813832-
6@+@26091104^26091314-@26091103^26091105-26091314^26091316-,6,+,26091104^,26091314-,26091103^26091105-26091314^26091316-
6@-@135497583^135492291-@135497585^135497583-135492292^135492290-,6,-,135497583^,135492291-,135497585^135497583-135492292^135492290-
6@-@135465814^135463306-@135465816^135465814-135463307^135463305-,6,-,135465814^,135463306-,135465816^135465814-135463307^135463305-
6@-@135302712^135301539-@135302714^135302712-135301540^135301538-,6,-,135302712^,135301539-,135302714^135302712-135301540^135301538-
6@-@135302712^135301504-@135302714^135302712-135301505^135301503-,6,-,135302712^,135301504-,135302714^135302712-135301505^135301503-
6@-@135301408^135300558-@135301410^135301408-135300559^135300557-,6,-,135301408^,135300558-,135301410^135301408-135300559^135300557-
6@-@135302670^135300558-@135302672^135302670-135300559^135300557-,6,-,135302670^,135300558-,135302672^135302670-135300559^135300557-
6@-@135302712^135300558-@135302714^135302712-135300559^135300557-,6,-,135302712^,135300558-,135302714^135302712-135300559^135300557-
6@+@32166266^32166498-@32166265^32166267-32166498^32166500-,6,+,32166266^,32166498-,32166265^32166267-32166498^32166500-
6@+@32166232^32166498-@32166231^32166233-32166498^32166500-,6,+,32166232^,32166498-,32166231^32166233-32166498^32166500-
6@+@32167429^32167503-@32167428^32167430-32167503^32167505-,6,+,32167429^,32167503-,32167428^32167430-32167503^32167505-
6@-@30741614^30741333-@30741616^30741614-30741334^30741332-,6,-,30741614^,30741333-,30741616^30741614-30741334^30741332-
6@-@30741662^30741333-@30741664^30741662-30741334^30741332-,6,-,30741662^,30741333-,30741664^30741662-30741334^30741332-
6@-@3226561^3226269-@3226563^3226561-3226270^3226268-,6,-,3226561^,3226269-,3226563^3226561-3226270^3226268-
6@-@3272829^3272491-@3272831^3272829-3272492^3272490-,6,-,3272829^,3272491-,3272831^3272829-3272492^3272490-
6@-@3156044^3155735-@3156046^3156044-3155736^3155734-,6,-,3156044^,3155735-,3156046^3156044-3155736^3155734-
6@-@3156044^3155735-@3156046^3156044-3155736^3155734-,6,-,3156044^,3155735-,3156046^3156044-3155736^3155734-
6@+@35286208^35286322-@35286207^35286209-35286322^35286324-,6,+,35286208^,35286322-,35286207^35286209-35286322^35286324-
6@+@35290716^35291278-@35290715^35290717-35291278^35291280-,6,+,35290716^,35291278-,35290715^35290717-35291278^35291280-
6@+@35468439^35468799-@35468438^35468440-35468799^35468801-,6,+,35468439^,35468799-,35468438^35468440-35468799^35468801-
6@+@35468873^35468947-@35468872^35468874-35468947^35468949-,6,+,35468873^,35468947-,35468872^35468874-35468947^35468949-
6@+@35469027^35469381-@35469026^35469028-35469381^35469383-,6,+,35469027^,35469381-,35469026^35469028-35469381^35469383-
6@+@35469285^35469381-@35469284^35469286-35469381^35469383-,6,+,35469285^,35469381-,35469284^35469286-35469381^35469383-
6@-@99416349^99414690-@99416351^99416349-99414691^99414689-,6,-,99416349^,99414690-,99416351^99416349-99414691^99414689-
6@-@99404603^99403882-@99404605^99404603-99403883^99403881-,6,-,99404603^,99403882-,99404605^99404603-99403883^99403881-
6@-@31956941^31956838-@31956943^31956941-31956839^31956837-,6,-,31956941^,31956838-,31956943^31956941-31956839^31956837-
6@-@31955059^31954877-@31955061^31955059-31954878^31954876-,6,-,31955059^,31954877-,31955061^31955059-31954878^31954876-
6@-@31955059^31954802-@31955061^31955059-31954803^31954801-,6,-,31955059^,31954802-,31955061^31955059-31954803^31954801-
6@-@31955059^31954892-@31955061^31955059-31954893^31954891-,6,-,31955059^,31954892-,31955061^31955059-31954893^31954891-
6@-@31954080^31953831-@31954082^31954080-31953832^31953830-,6,-,31954080^,31953831-,31954082^31954080-31953832^31953830-
6@-@31970912^31970752-@31970914^31970912-31970753^31970751-,6,-,31970912^,31970752-,31970914^31970912-31970753^31970751-
6@-@31970912^31970825-@31970914^31970912-31970826^31970824-,6,-,31970912^,31970825-,31970914^31970912-31970826^31970824-
6@-@31970606^31970478-@31970608^31970606-31970479^31970477-,6,-,31970606^,31970478-,31970608^31970606-31970479^31970477-
6@-@31970593^31970378-@31970595^31970593-31970379^31970377-,6,-,31970593^,31970378-,31970595^31970593-31970379^31970377-
6@+@32028277^32028457-@32028276^32028278-32028457^32028459-,6,+,32028277^,32028457-,32028276^32028278-32028457^32028459-
6@+@32034597^32034860-@32034596^32034598-32034860^32034862-,6,+,32034597^,32034860-,32034596^32034598-32034860^32034862-
6@+@32038624^32038722-@32038623^32038625-32038722^32038724-,6,+,32038624^,32038722-,32038623^32038625-32038722^32038724-
6@+@32040584^32040668-@32040583^32040585-32040668^32040670-,6,+,32040584^,32040668-,32040583^32040585-32040668^32040670-
6@+@26368050^26368178-@26368049^26368051-26368178^26368180-,6,+,26368050^,26368178-,26368049^26368051-26368178^26368180-
6@+@26368608^26368721-@26368607^26368609-26368721^26368723-,6,+,26368608^,26368721-,26368607^26368609-26368721^26368723-
6@+@26373296^26373387-@26373295^26373297-26373387^26373389-,6,+,26373296^,26373387-,26373295^26373297-26373387^26373389-
6@+@26409914^26410006-@26409913^26409915-26410006^26410008-,6,+,26409914^,26410006-,26409913^26409915-26410006^26410008-
6@+@26444304^26445704-@26444303^26444305-26445704^26445706-,6,+,26444304^,26445704-,26444303^26444305-26445704^26445706-
6@+@26448448^26448728-@26448447^26448449-26448728^26448730-,6,+,26448448^,26448728-,26448447^26448449-26448728^26448730-
6@-@118922005^118917761-@118922007^118922005-118917762^118917760-,6,-,118922005^,118917761-,118922007^118922005-118917762^118917760-
6@-@118913295^118911769-@118913297^118913295-118911770^118911768-,6,-,118913295^,118911769-,118913297^118913295-118911770^118911768-
6@+@73466408^73466489-@73466407^73466409-73466489^73466491-,6,+,73466408^,73466489-,73466407^73466409-73466489^73466491-
6@+@73466408^73466493-@73466407^73466409-73466493^73466495-,6,+,73466408^,73466493-,73466407^73466409-73466493^73466495-
6@+@73479844^73480039-@73479843^73479845-73480039^73480041-,6,+,73479844^,73480039-,73479843^73479845-73480039^73480041-
6@+@73479844^73479936-@73479843^73479845-73479936^73479938-,6,+,73479844^,73479936-,73479843^73479845-73479936^73479938-
6@+@73480126^73480293-@73480125^73480127-73480293^73480295-,6,+,73480126^,73480293-,73480125^73480127-73480293^73480295-
6@+@73480126^73480318-@73480125^73480127-73480318^73480320-,6,+,73480126^,73480318-,73480125^73480127-73480318^73480320-
6@+@158662812^158663205-@158662811^158662813-158663205^158663207-,6,+,158662812^,158663205-,158662811^158662813-158663205^158663207-
6@+@4056435^4057036-@4056434^4056436-4057036^4057038-,6,+,4056435^,4057036-,4056434^4056436-4057036^4057038-
6@+@4060644^4061015-@4060643^4060645-4061015^4061017-,6,+,4060644^,4061015-,4060643^4060645-4061015^4061017-
6@+@4060686^4061015-@4060685^4060687-4061015^4061017-,6,+,4060686^,4061015-,4060685^4060687-4061015^4061017-
6@+@4061700^4062213-@4061699^4061701-4062213^4062215-,6,+,4061700^,4062213-,4061699^4061701-4062213^4062215-
6@-@4126135^4125370-@4126137^4126135-4125371^4125369-,6,-,4126135^,4125370-,4126137^4126135-4125371^4125369-
6@-@4119186^4117451-@4119188^4119186-4117452^4117450-,6,-,4119186^,4117451-,4119188^4119186-4117452^4117450-
6@-@151422541^151421321-@151422543^151422541-151421322^151421320-,6,-,151422541^,151421321-,151422543^151422541-151421322^151421320-
6@-@151423525^151421321-@151423527^151423525-151421322^151421320-,6,-,151423525^,151421321-,151423527^151423525-151421322^151421320-
6@-@151423525^151422605-@151423527^151423525-151422606^151422604-,6,-,151423525^,151422605-,151423527^151423525-151422606^151422604-
6@+@69233160^69233290-@69233159^69233161-69233290^69233292-,6,+,69233160^,69233290-,69233159^69233161-69233290^69233292-
6@-@33007311^33007215-@33007313^33007311-33007216^33007214-,6,-,33007311^,33007215-,33007313^33007311-33007216^33007214-
6@-@33264782^33264497-@33264784^33264782-33264498^33264496-,6,-,33264782^,33264497-,33264784^33264782-33264498^33264496-
6@+@33276066^33276176-@33276065^33276067-33276176^33276178-,6,+,33276066^,33276176-,33276065^33276067-33276176^33276178-
6@-@33279497^33279374-@33279499^33279497-33279375^33279373-,6,-,33279497^,33279374-,33279499^33279497-33279375^33279373-
6@-@33288358^33288235-@33288360^33288358-33288236^33288234-,6,-,33288358^,33288235-,33288360^33288358-33288236^33288234-
6@-@33280674^33280522-@33280676^33280674-33280523^33280521-,6,-,33280674^,33280522-,33280676^33280674-33280523^33280521-
6@-@33294034^33293916-@33294036^33294034-33293917^33293915-,6,-,33294034^,33293916-,33294036^33294034-33293917^33293915-
6@-@33293604^33293524-@33293606^33293604-33293525^33293523-,6,-,33293604^,33293524-,33293606^33293604-33293525^33293523-
6@+@43299097^43299390-@43299096^43299098-43299390^43299392-,6,+,43299097^,43299390-,43299096^43299098-43299390^43299392-
6@+@43299274^43299390-@43299273^43299275-43299390^43299392-,6,+,43299274^,43299390-,43299273^43299275-43299390^43299392-
6@+@33414829^33414966-@33414828^33414830-33414966^33414968-,6,+,33414829^,33414966-,33414828^33414830-33414966^33414968-
6@+@33414829^33414955-@33414828^33414830-33414955^33414957-,6,+,33414829^,33414955-,33414828^33414830-33414955^33414957-
6@-@33417247^33417142-@33417249^33417247-33417143^33417141-,6,-,33417247^,33417142-,33417249^33417247-33417143^33417141-
6@-@33417251^33417142-@33417253^33417251-33417143^33417141-,6,-,33417251^,33417142-,33417253^33417251-33417143^33417141-
6@-@33416749^33416660-@33416751^33416749-33416661^33416659-,6,-,33416749^,33416660-,33416751^33416749-33416661^33416659-
6@-@85543605^85543306-@85543607^85543605-85543307^85543305-,6,-,85543605^,85543306-,85543607^85543605-85543307^85543305-
6@-@85513800^85508059-@85513802^85513800-85508060^85508058-,6,-,85513800^,85508059-,85513802^85513800-85508060^85508058-
6@-@85513800^85508313-@85513802^85513800-85508314^85508312-,6,-,85513800^,85508313-,85513802^85513800-85508314^85508312-
6@-@85507968^85507289-@85507970^85507968-85507290^85507288-,6,-,85507968^,85507289-,85507970^85507968-85507290^85507288-
6@-@85678694^85678188-@85678696^85678694-85678189^85678187-,6,-,85678694^,85678188-,85678696^85678694-85678189^85678187-
6@-@85678694^85678188-@85678696^85678694-85678189^85678187-,6,-,85678694^,85678188-,85678696^85678694-85678189^85678187-
6@-@85678694^85678188-@85678696^85678694-85678189^85678187-,6,-,85678694^,85678188-,85678696^85678694-85678189^85678187-
6@-@85678698^85678188-@85678700^85678698-85678189^85678187-,6,-,85678698^,85678188-,85678700^85678698-85678189^85678187-
6@-@85678498^85678188-@85678500^85678498-85678189^85678187-,6,-,85678498^,85678188-,85678500^85678498-85678189^85678187-
6@-@85678403^85678188-@85678405^85678403-85678189^85678187-,6,-,85678403^,85678188-,85678405^85678403-85678189^85678187-
6@-@85678136^85678032-@85678138^85678136-85678033^85678031-,6,-,85678136^,85678032-,85678138^85678136-85678033^85678031-
6@-@85678136^85678032-@85678138^85678136-85678033^85678031-,6,-,85678136^,85678032-,85678138^85678136-85678033^85678031-
6@-@85678136^85678032-@85678138^85678136-85678033^85678031-,6,-,85678136^,85678032-,85678138^85678136-85678033^85678031-
6@-@85678694^85678188-@85678696^85678694-85678189^85678187-,6,-,85678694^,85678188-,85678696^85678694-85678189^85678187-
6@-@85677954^85677899-@85677956^85677954-85677900^85677898-,6,-,85677954^,85677899-,85677956^85677954-85677900^85677898-
6@-@85677954^85677868-@85677956^85677954-85677869^85677867-,6,-,85677954^,85677868-,85677956^85677954-85677869^85677867-
6@-@85677954^85677875-@85677956^85677954-85677876^85677874-,6,-,85677954^,85677875-,85677956^85677954-85677876^85677874-
6@-@85677954^85677875-@85677956^85677954-85677876^85677874-,6,-,85677954^,85677875-,85677956^85677954-85677876^85677874-
6@-@85678136^85678032-@85678138^85678136-85678033^85678031-,6,-,85678136^,85678032-,85678138^85678136-85678033^85678031-
6@-@85677954^85677875-@85677956^85677954-85677876^85677874-,6,-,85677954^,85677875-,85677956^85677954-85677876^85677874-
6@-@85678136^85678032-@85678138^85678136-85678033^85678031-,6,-,85678136^,85678032-,85678138^85678136-85678033^85678031-
6@-@85678694^85678188-@85678696^85678694-85678189^85678187-,6,-,85678694^,85678188-,85678696^85678694-85678189^85678187-
6@-@85677954^85677875-@85677956^85677954-85677876^85677874-,6,-,85677954^,85677875-,85677956^85677954-85677876^85677874-
6@-@85677791^85677492-@85677793^85677791-85677493^85677491-,6,-,85677791^,85677492-,85677793^85677791-85677493^85677491-
6@-@85677795^85677492-@85677797^85677795-85677493^85677491-,6,-,85677795^,85677492-,85677797^85677795-85677493^85677491-
6@-@85677791^85677492-@85677793^85677791-85677493^85677491-,6,-,85677791^,85677492-,85677793^85677791-85677493^85677491-
6@-@85677795^85677492-@85677797^85677795-85677493^85677491-,6,-,85677795^,85677492-,85677797^85677795-85677493^85677491-
6@-@85677954^85677492-@85677956^85677954-85677493^85677491-,6,-,85677954^,85677492-,85677956^85677954-85677493^85677491-
6@-@85677954^85677875-@85677956^85677954-85677876^85677874-,6,-,85677954^,85677875-,85677956^85677954-85677876^85677874-
6@-@85677795^85677492-@85677797^85677795-85677493^85677491-,6,-,85677795^,85677492-,85677797^85677795-85677493^85677491-
6@-@85678136^85677492-@85678138^85678136-85677493^85677491-,6,-,85678136^,85677492-,85678138^85678136-85677493^85677491-
6@-@85678136^85678032-@85678138^85678136-85678033^85678031-,6,-,85678136^,85678032-,85678138^85678136-85678033^85678031-
6@-@85677795^85677492-@85677797^85677795-85677493^85677491-,6,-,85677795^,85677492-,85677797^85677795-85677493^85677491-
6@-@85677954^85677492-@85677956^85677954-85677493^85677491-,6,-,85677954^,85677492-,85677956^85677954-85677493^85677491-
6@-@85678136^85677492-@85678138^85678136-85677493^85677491-,6,-,85678136^,85677492-,85678138^85678136-85677493^85677491-
6@-@85678136^85678032-@85678138^85678136-85678033^85678031-,6,-,85678136^,85678032-,85678138^85678136-85678033^85678031-
6@-@85678694^85678188-@85678696^85678694-85678189^85678187-,6,-,85678694^,85678188-,85678696^85678694-85678189^85678187-
6@-@85677424^85677191-@85677426^85677424-85677192^85677190-,6,-,85677424^,85677191-,85677426^85677424-85677192^85677190-
6@-@85677795^85677492-@85677797^85677795-85677493^85677491-,6,-,85677795^,85677492-,85677797^85677795-85677493^85677491-
6@-@85677424^85677191-@85677426^85677424-85677192^85677190-,6,-,85677424^,85677191-,85677426^85677424-85677192^85677190-
6@+@7571584^7571842-@7571583^7571585-7571842^7571844-,6,+,7571584^,7571842-,7571583^7571585-7571842^7571844-
6@+@7599680^7601336-@7599679^7599681-7601336^7601338-,6,+,7599680^,7601336-,7599679^7599681-7601336^7601338-
6@+@30888814^30888937-@30888813^30888815-30888937^30888939-,6,+,30888814^,30888937-,30888813^30888815-30888937^30888939-
6@+@30888814^30888908-@30888813^30888815-30888908^30888910-,6,+,30888814^,30888908-,30888813^30888815-30888908^30888910-
6@-@28354131^28353952-@28354133^28354131-28353953^28353951-,6,-,28354131^,28353952-,28354133^28354131-28353953^28353951-
6@-@134317815^134317542-@134317817^134317815-134317543^134317541-,6,-,134317815^,134317542-,134317817^134317815-134317543^134317541-
6@-@134174732^134174586-@134174734^134174732-134174587^134174585-,6,-,134174732^,134174586-,134174734^134174732-134174587^134174585-
6@-@134173462^134173357-@134173464^134173462-134173358^134173356-,6,-,134173462^,134173357-,134173464^134173462-134173358^134173356-
6@-@134171023^134170915-@134171025^134171023-134170916^134170914-,6,-,134171023^,134170915-,134171025^134171023-134170916^134170914-
6@-@158117727^158116282-@158117729^158117727-158116283^158116281-,6,-,158117727^,158116282-,158117729^158117727-158116283^158116281-
6@+@30345398^30345467-@30345397^30345399-30345467^30345469-,6,+,30345398^,30345467-,30345397^30345399-30345467^30345469-
6@+@30345398^30345491-@30345397^30345399-30345491^30345493-,6,+,30345398^,30345491-,30345397^30345399-30345491^30345493-
6@+@30345573^30346432-@30345572^30345574-30346432^30346434-,6,+,30345573^,30346432-,30345572^30345574-30346432^30346434-
6@+@30345398^30346432-@30345397^30345399-30346432^30346434-,6,+,30345398^,30346432-,30345397^30345399-30346432^30346434-
6@+@29829693^29829816-@29829692^29829694-29829816^29829818-,6,+,29829693^,29829816-,29829692^29829694-29829816^29829818-
6@-@165792228^165792093-@165792230^165792228-165792094^165792092-,6,-,165792228^,165792093-,165792230^165792228-165792094^165792092-
6@+@32718147^32718406-@32718146^32718148-32718406^32718408-,6,+,32718147^,32718406-,32718146^32718148-32718406^32718408-
6@+@129512493^129514373-@129512492^129512494-129514373^129514375-,6,+,129512493^,129514373-,129512492^129512494-129514373^129514375-
6@-@32184171^32183987-@32184173^32184171-32183988^32183986-,6,-,32184171^,32183987-,32184173^32184171-32183988^32183986-
6@+@7181246^7181870-@7181245^7181247-7181870^7181872-,6,+,7181246^,7181870-,7181245^7181247-7181870^7181872-
6@+@7181289^7181870-@7181288^7181290-7181870^7181872-,6,+,7181289^,7181870-,7181288^7181290-7181870^7181872-
6@-@31166534^31166047-@31166536^31166534-31166048^31166046-,6,-,31166534^,31166047-,31166536^31166534-31166048^31166046-
6@+@135196908^135196961-@135196907^135196909-135196961^135196963-,6,+,135196908^,135196961-,135196907^135196909-135196961^135196963-
